"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",99.999990,23.085073,1,23.085073,23.085073,23.085073,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.000010,0.000002,1,0.000002,0.000002,0.000002,"[CUDA memcpy DtoH]"
"API calls",99.579046,23.084987,1,23.084987,23.084987,23.084987,"cudaMemcpy"
"API calls",0.391831,0.090837,1,0.090837,0.090837,0.090837,"cudaMalloc"
"API calls",0.026782,0.006209,1,0.006209,0.006209,0.006209,"cudaLaunchKernel"
"API calls",0.001713,0.000397,1,0.000397,0.000397,0.000397,"cudaFree"
"API calls",0.000546,0.000127,114,0.000001,0.000000,0.000052,"cuDeviceGetAttribute"
"API calls",0.000045,0.000010,1,0.000010,0.000010,0.000010,"cuDeviceGetName"
"API calls",0.000026,0.000006,1,0.000006,0.000006,0.000006,"cuDeviceGetPCIBusId"
"API calls",0.000003,0.000001,3,0.000000,0.000000,0.000000,"cuDeviceGetCount"
"API calls",0.000002,0.000000,1,0.000000,0.000000,0.000000,"cudaGetDeviceCount"
"API calls",0.000002,0.000000,2,0.000000,0.000000,0.000000,"cuDeviceGet"
"API calls",0.000001,0.000000,1,0.000000,0.000000,0.000000,"cuModuleGetLoadingMode"
"API calls",0.000001,0.000000,1,0.000000,0.000000,0.000000,"cuDeviceTotalMem"
"API calls",0.000001,0.000000,1,0.000000,0.000000,0.000000,"cuDeviceGetUuid"
