"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",67.411297,57.183466,2,28.591733,28.588629,28.594837,"[CUDA memcpy HtoD]"
"GPU activities",31.993316,27.139200,1,27.139200,27.139200,27.139200,"[CUDA memcpy DtoH]"
"GPU activities",0.595387,0.505053,1,0.505053,0.505053,0.505053,"saxpy_gpu(float*, float*, float, int)"
"API calls",69.426670,257.551254,2,128.775627,0.083216,257.468038,"cudaMalloc"
"API calls",26.214158,97.246336,3,32.415445,28.818231,34.576159,"cudaMemcpy"
"API calls",4.188852,15.539331,1,15.539331,15.539331,15.539331,"cudaLaunchKernel"
"API calls",0.099598,0.369477,2,0.184738,0.143568,0.225909,"cudaFree"
"API calls",0.037750,0.140040,114,0.001228,0.000085,0.055955,"cuDeviceGetAttribute"
"API calls",0.025923,0.096166,1,0.096166,0.096166,0.096166,"cudaGetDeviceProperties"
"API calls",0.004574,0.016969,1,0.016969,0.016969,0.016969,"cuDeviceGetName"
"API calls",0.001460,0.005415,1,0.005415,0.005415,0.005415,"cuDeviceGetPCIBusId"
"API calls",0.000494,0.001833,3,0.000611,0.000121,0.001341,"cuDeviceGetCount"
"API calls",0.000136,0.000506,1,0.000506,0.000506,0.000506,"cudaGetDeviceCount"
"API calls",0.000116,0.000432,2,0.000216,0.000078,0.000354,"cuDeviceGet"
"API calls",0.000095,0.000353,1,0.000353,0.000353,0.000353,"cuModuleGetLoadingMode"
"API calls",0.000088,0.000326,1,0.000326,0.000326,0.000326,"cuDeviceTotalMem"
"API calls",0.000086,0.000318,1,0.000318,0.000318,0.000318,"cuDeviceGetUuid"
